zip,lat,lng,city,state_name
2150,42.39592,-71.03245,Chelsea,Massachusetts
2151,42.41844,-71.00351,Revere,Massachusetts
2152,42.37279,-70.97788,Winthrop,Massachusetts
2155,42.42325,-71.10884,Medford,Massachusetts
2163,42.36636,-71.12076,Boston,Massachusetts
2169,42.24759,-71.00322,Quincy,Massachusetts
2170,42.26649,-71.01615,Quincy,Massachusetts
2171,42.28822,-71.02459,Quincy,Massachusetts
2176,42.45561,-71.05901,Melrose,Massachusetts
2180,42.47407,-71.09723,Stoneham,Massachusetts
2184,42.20384,-71.00224,Braintree,Massachusetts
2186,42.24123,-71.08437,Milton,Massachusetts
2188,42.20807,-70.95749,Weymouth,Massachusetts
2189,42.20876,-70.9316,East Weymouth,Massachusetts
2190,42.16646,-70.95271,South Weymouth,Massachusetts
2191,42.24363,-70.94148,North Weymouth,Massachusetts
2199,42.34747,-71.08202,Boston,Massachusetts
2203,42.3605,-71.05896,Boston,Massachusetts
2210,42.34778,-71.03906,Boston,Massachusetts
2215,42.34777,-71.10282,Boston,Massachusetts
2301,42.07791,-71.04223,Brockton,Massachusetts
2302,42.08784,-70.99869,Brockton,Massachusetts
2322,42.12666,-71.04924,Avon,Massachusetts
2324,41.97282,-70.97489,Bridgewater,Massachusetts
2330,41.87389,-70.75635,Carver,Massachusetts
2332,42.0467,-70.71496,Duxbury,Massachusetts
2333,42.03515,-70.94241,East Bridgewater,Massachusetts
2338,41.99141,-70.86326,Halifax,Massachusetts
